YEAR,WEEK,Sunday
2015,44,11/1/2015
2015,45,11/8/2015
2015,46,11/15/2015
2015,47,11/22/2015
2015,48,11/29/2015
2015,49,12/6/2015
2015,50,12/13/2015
2015,51,12/20/2015
2015,52,12/27/2015
2016,1,1/3/2016
2016,2,1/10/2016
2016,3,1/17/2016
2016,4,1/24/2016
2016,5,1/31/2016
2016,6,2/7/2016
2016,7,2/14/2016
2016,8,2/21/2016
2016,9,2/28/2016
2016,10,3/6/2016
2016,11,3/13/2016
2016,12,3/20/2016
2016,13,3/27/2016
2016,14,4/3/2016
2016,15,4/10/2016
2016,16,4/17/2016
2016,17,4/24/2016
2016,18,5/1/2016
2016,19,5/8/2016
2016,20,5/15/2016
2016,21,5/22/2016
2016,22,5/29/2016
2016,23,6/5/2016
2016,24,6/12/2016
2016,25,6/19/2016
2016,26,6/26/2016
2016,27,7/3/2016
2016,28,7/10/2016
2016,29,7/17/2016
2016,30,7/24/2016
2016,31,7/31/2016
2016,32,8/7/2016
2016,33,8/14/2016
2016,34,8/21/2016
2016,35,8/28/2016
2016,36,9/4/2016
2016,37,9/11/2016
2016,38,9/18/2016
2016,39,9/25/2016
2016,40,10/2/2016
2016,41,10/9/2016
2016,42,10/16/2016
2016,43,10/23/2016
2016,44,10/30/2016
2016,45,11/6/2016
2016,46,11/13/2016
2016,47,11/20/2016
2016,48,11/27/2016
2016,49,12/4/2016
2016,50,12/11/2016
2016,51,12/18/2016
2016,52,12/25/2016
2017,1,1/1/2017
2017,2,1/8/2017
2017,3,1/15/2017
2017,4,1/22/2017
2017,5,1/29/2017
2017,6,2/5/2017
2017,7,2/12/2017
2017,8,2/19/2017
2017,9,2/26/2017
2017,10,3/5/2017
2017,11,3/12/2017
2017,12,3/19/2017
2017,13,3/26/2017
2017,14,4/2/2017
2017,15,4/9/2017
2017,16,4/16/2017
2017,17,4/23/2017
2017,18,4/30/2017
2017,19,5/7/2017
2017,20,5/14/2017
2017,21,5/21/2017
2017,22,5/28/2017
2017,23,6/4/2017
2017,24,6/11/2017
2017,25,6/18/2017
2017,26,6/25/2017
2017,27,7/2/2017
2017,28,7/9/2017
2017,29,7/16/2017
2017,30,7/23/2017
2017,31,7/30/2017
2017,32,8/6/2017
2017,33,8/13/2017
2017,34,8/20/2017
2017,35,8/27/2017
2017,36,9/3/2017
2017,37,9/10/2017
2017,38,9/17/2017
2017,39,9/24/2017
2017,40,10/1/2017
2017,41,10/8/2017
2017,42,10/15/2017
2017,43,10/22/2017
2017,44,10/29/2017
2017,45,11/5/2017
2017,46,11/12/2017
2017,47,11/19/2017
2017,48,11/26/2017
2017,49,12/3/2017
2017,50,12/10/2017
2017,51,12/17/2017
2017,52,12/24/2017
2018,1,12/31/2017
2018,2,1/7/2018
2018,3,1/14/2018
2018,4,1/21/2018
2018,5,1/28/2018
2018,6,2/4/2018
2018,7,2/11/2018
2018,8,2/18/2018
2018,9,2/25/2018
2018,10,3/4/2018
2018,11,3/11/2018
2018,12,3/18/2018
2018,13,3/25/2018
2018,14,4/1/2018
2018,15,4/8/2018
2018,16,4/15/2018
2018,17,4/22/2018
2018,18,4/29/2018
2018,19,5/6/2018
2018,20,5/13/2018
2018,21,5/20/2018
2018,22,5/27/2018
2018,23,6/3/2018
2018,24,6/10/2018
2018,25,6/17/2018
2018,26,6/24/2018
2018,27,7/1/2018
2018,28,7/8/2018
2018,29,7/15/2018
2018,30,7/22/2018
2018,31,7/29/2018
2018,32,8/5/2018
2018,33,8/12/2018
2018,34,8/19/2018
2018,35,8/26/2018
2018,36,9/2/2018
2018,37,9/9/2018
2018,38,9/16/2018
2018,39,9/23/2018
2018,40,9/30/2018
2018,41,10/7/2018
2018,42,10/14/2018
2018,43,10/21/2018
2018,44,10/28/2018
2018,45,11/4/2018
2018,46,11/11/2018
2018,47,11/18/2018
2018,48,11/25/2018
2018,49,12/2/2018
2018,50,12/9/2018
2018,51,12/16/2018
2018,52,12/23/2018
2019,1,12/30/2018
2019,2,1/6/2019
2019,3,1/13/2019
2019,4,1/20/2019
2019,5,1/27/2019
2019,6,2/3/2019
2019,7,2/10/2019
2019,8,2/17/2019
2019,9,2/24/2019
2019,10,3/3/2019
2019,11,3/10/2019
2019,12,3/17/2019
2019,13,3/24/2019
2019,14,3/31/2019
2019,15,4/7/2019
2019,16,4/14/2019
2019,17,4/21/2019
2019,18,4/28/2019
2019,19,5/5/2019
2019,20,5/12/2019
2019,21,5/19/2019
2019,22,5/26/2019
2019,23,6/2/2019
2019,24,6/9/2019
2019,25,6/16/2019
2019,26,6/23/2019
2019,27,6/30/2019
2019,28,7/7/2019
2019,29,7/14/2019
2019,30,7/21/2019
2019,31,7/28/2019
2019,32,8/4/2019
2019,33,8/11/2019
2019,34,8/18/2019
2019,35,8/25/2019
2019,36,9/1/2019
2019,37,9/8/2019
2019,38,9/15/2019
2019,39,9/22/2019
2019,40,9/29/2019
2019,41,10/6/2019
2019,42,10/13/2019
2019,43,10/20/2019
2019,44,10/27/2019
2019,45,11/3/2019
2019,46,11/10/2019
2019,47,11/17/2019
2019,48,11/24/2019
2019,49,12/1/2019
2019,50,12/8/2019
2019,51,12/15/2019
2019,52,12/22/2019
2020,1,12/29/2019
2020,2,1/5/2020
2020,3,1/12/2020
2020,4,1/19/2020
2020,5,1/26/2020
2020,6,2/2/2020
2020,7,2/9/2020
2020,8,2/16/2020
2020,9,2/23/2020
2020,10,3/1/2020
2020,11,3/8/2020
2020,12,3/15/2020
2020,13,3/22/2020
2020,14,3/29/2020
2020,15,4/5/2020
2020,16,4/12/2020
2020,17,4/19/2020
2020,18,4/26/2020
2020,19,5/3/2020
2020,20,5/10/2020
2020,21,5/17/2020
2020,22,5/24/2020
2020,23,5/31/2020
2020,24,6/7/2020
2020,25,6/14/2020
2020,26,6/21/2020
2020,27,6/28/2020
2020,28,7/5/2020
2020,29,7/12/2020
2020,30,7/19/2020
2020,31,7/26/2020
2020,32,8/2/2020
2020,33,8/9/2020
2020,34,8/16/2020
